Client,Weighted F1,Macro F1
Chapman,0.981973198648238,0.9819731986482382
CPSC,0.8434046694916261,0.8434046694916261
Georgia,0.8748602596815078,0.8748602596815077
Ningbo,0.9504439746569042,0.9504439746569041
PhysioNet2017,0.7960492011467343,0.7444601066232944
PTB,0.8245334301061856,0.8245334301061855
