LR,BS,Train Accuracy,Val Accuracy,Val Loss,Mean Test F1
0.001,32,0.9243952628322277,0.9228199516184772,0.23181063202903354,0.9194096790685699
0.002,32,0.896378052465716,0.9038129247782514,0.24989531065527573,0.8979867600388886
0.002,64,0.918524167901803,0.9221287870061052,0.2241314474290286,0.918470606091193
