Hospital Site,Macro F1
Chapman,0.9758349029023883
CPSC,0.7674307601099132
Georgia,0.7438599477546829
Ningbo,0.9293861211986068
PhysioNet2017,0.7230390044718957
PTB,0.8271675124992228
